game_id,start_timestamp,end_timestamp,duration_seconds,status,steps,model_provider,model_name,start_page,target_page,max_steps,path_length,successful_moves,failed_moves,target_reached,error_message,error_types,final_page_links,path_taken
random_20250524_161031_5a0c99fc,2025-05-24T16:10:31.388793,2025-05-24T16:10:31.796512,0.407719,lost_invalid_move,1,random,random,Kansas City Zephyr,SyntheSys Research,5,2,1,1,False,Language model did not select a valid action,model_no_tool_call,0,Kansas City Zephyr -> The Buffalo Bill
random_20250524_161331_ef7f8ba7,2025-05-24T16:13:31.082877,2025-05-24T16:13:32.677515,1.594638,lost_max_steps,5,random,random,Ijok,Zębowice,5,6,5,0,False,Maximum turns reached,,647,Ijok -> Teluk Datok -> Kota Kemuning -> Kota Kemuning (state constituency) -> Machap Jaya (state constituency) -> Malaysian Indians
anthropic_claude_3_haiku_20240307_20250524_161417_3e2112ed,2025-05-24T16:14:17.914622,2025-05-24T16:14:39.169805,21.255183,lost_max_steps,5,anthropic,claude-3-haiku-20240307,Intensification,"Berajondo, Queensland",5,6,5,0,False,Maximum turns reached,,489,"Intensification -> Climate change -> Australia (continent) -> Queensland -> Maryborough, Queensland -> Bundaberg"
anthropic_claude_3_haiku_20240307_20250524_162132_ec17f15d,2025-05-24T16:21:32.840003,2025-05-24T16:21:41.866727,9.026724,lost_invalid_move,1,anthropic,claude-3-haiku-20240307,Michałowo,Juri Cisotti,30,2,1,1,False,Page 'Michałowo' is not in available links of 'Poland',model_invalid_link,1713,Michałowo -> Poland
random_20250525_115909_e14e7f21,2025-05-25T11:59:09.728598,2025-05-25T11:59:10.749100,lost_invalid_move,3,random,random,List of rampage killers (familicides in Asia),Sideritis scardica,30,4,3,1,False,Language model did not select a valid action,model_no_tool_call,0,List of rampage killers (familicides in Asia) -> Democide -> Template talk:Discrimination -> Template talk:Discrimination/Archive 2020,0,0,0,0.0,0.0,0.0,4,0,0
anthropic_claude_3_haiku_20240307_20250525_120221_82a63e70,2025-05-25T12:02:21.843277,2025-05-25T12:02:51.583955,lost_invalid_move,5,anthropic,claude-3-haiku-20240307,Chiiild,Budapest bus route 200E,30,6,5,1,False,Page 'Bus route' is not in available links of 'Public transport bus service',model_invalid_link,412,Chiiild -> Montreal -> List of STM bus routes -> List of STM bus routes -> List of STM bus routes -> Public transport bus service,20073,945,21018,0.0,27857.536,4642.922666666666,6,0,0
anthropic_claude_3_haiku_20240307_20250525_123051_cb33afe5,2025-05-25T12:30:51.751347,2025-05-25T12:30:53.151025,lost_invalid_move,0,anthropic,claude-3-haiku-20240307,Vazirani,Andrew J. Duck,30,1,0,1,False,Page 'Vazirani' is not in available links of 'Vazirani',model_invalid_link,8,Vazirani,590,91,681,0.00026125,1150.789,1150.789,1,0.25,1.25
anthropic_claude_3_haiku_20240307_20250525_123842_66d10591,2025-05-25T12:38:42.130576,2025-05-25T12:38:45.633340,lost_invalid_move,1,anthropic,claude-3-haiku-20240307,Oi Oi Oi (album),Wilhelm Nicolaysen,30,2,1,1,False,Page 'Feist (singer)' is not in available links of 'Feist (singer)',model_invalid_link,312,Oi Oi Oi (album) -> Feist (singer),3270,196,3466,0.0010625,3067.697,1533.8485,2,0.25,1.25
anthropic_claude_3_haiku_20240307_20250525_124856_c904fc5d,2025-05-25T12:48:56.264192,2025-05-25T12:49:01.190771,lost_invalid_move,3,anthropic,claude-3-haiku-20240307,Khlong Thawi Watthana,MS Borgestad,30,4,3,1,False,Page 'Thawi Watthana district' is not in available links of 'Thawi Watthana district',model_invalid_link,101,Khlong Thawi Watthana -> Thawi Watthana district -> Khlong Thawi Watthana -> Thawi Watthana district,3950,234,4184,0.0012799999999999999,4050.623,1012.65575,4,0.25,1.25
anthropic_claude_3_haiku_20240307_20250525_125441_a06582b0,2025-05-25T12:54:41.218138,2025-05-25T12:54:42.349793,lost_invalid_move,0,anthropic,claude-3-haiku-20240307,"Arizola, Arizona",Big Horn Mountains Wilderness,30,1,0,1,False,"Page 'Arizola, Arizona' is not in available links of 'Arizola, Arizona'",model_invalid_link,115,"Arizola, Arizona",1281,56,1337,0.00039024999999999997,880.684,880.684,1,0.25,1.25
openai_gpt_4o_mini_2024_07_18_20250525_125620_1d0f4696,2025-05-25T12:56:20.246657,2025-05-25T12:56:28.929314,lost_invalid_move,3,openai,gpt-4o-mini-2024-07-18,Sukhdev Pande,Harry Newsome,30,4,3,1,False,Page 'Gujarat' is not in available links of 'Gujarat',model_invalid_link,1146,Sukhdev Pande -> Govind Chandra Pande -> H. M. Desai -> Gujarat,17414,66,17480,0.0026517,7274.072999999999,1818.5182499999999,4,0.15,0.6
openai_gpt_4o_mini_2024_07_18_20250525_130143_c8eededd,2025-05-25T13:01:43.079660,2025-05-25T13:01:59.196821,won,9,openai,gpt-4o-mini-2024-07-18,Trevitt's Addition Historic District,"Seabreeze, Texas",30,10,9,0,True,Target page reached!,,34,"Trevitt's Addition Historic District -> National Register of Historic Places listings in Texas -> Corpus Christi, Texas -> Corpus Christi metropolitan area -> Corpus Christi, Texas -> Texas -> Galveston, Texas -> Galveston Bay -> Seabrook, Texas -> Seabreeze, Texas",40227,148,40375,0.006122849999999999,12671.041000000001,1407.8934444444446,9,0.15,0.6
random_20250525_153517_f92d6812,2025-05-25T15:35:17.560717,2025-05-25T15:35:28.127987,lost_max_steps,30,random,random,Burdwan II,Coupling,30,31,30,0,False,Maximum turns reached,,207,Burdwan II -> Purbasthali I -> Mandirbazar (community development block) -> Falakata (community development block) -> Murarai I -> Tehatta II -> Gopal Bhar -> Dănilă Prepeleac -> Bucharest -> Paul Cézanne -> De Stijl -> Vienna Secession -> Conceptual art -> Intermedia -> Collage -> Discordianism -> Religion in San Marino -> Roman Catholic Archdiocese of Ravenna-Cervia -> Template talk:Italy-RC-diocese-stub -> Template:WikiProject Catholicism -> Wikipedia:User pages -> Wikipedia:Lua/Resources -> Wikipedia:Editnotice -> Template talk:Wikipedia technical help -> Wikipedia:WikiProject -> Wikipedia:WikiProject Council/Directory/Geographical/Oceania -> Portal:New Zealand -> Southeast Asia Treaty Organization -> Mozambican War of Independence -> Postos of Mozambique -> List of wards of Zimbabwe,0,0,0,0.0,0.0,0.0,30,0,0
random_20250527_231105_2150bee0,2025-05-27T23:11:05.329964,2025-05-27T23:11:10.470524,lost_invalid_move,16,random,random,Isaacs Spitfire,Agapanthia subnigra,30,17,16,1,False,Language model did not select a valid action,model_no_tool_call,0,"Isaacs Spitfire -> Supermarine Spitfire (early Merlin-powered variants) -> Wilbur Wright Field -> Vandalia, Ohio -> Columbiana County, Ohio -> Eugene V. Debs -> World Socialist Party of the United States -> Ferdinand Lassalle -> Tariq Ali -> February 1974 United Kingdom general election -> Brentford and Isleworth (UK Parliament constituency) -> Category:Use dmy dates from March 2020 -> Wikipedia:Maintenance -> Wikipedia:Charitableness -> Wikipedia:Administrators' noticeboard -> Wikipedia:Articles for deletion/Air Panamá Flight 982 -> User talk:122.147.252.162",0,0,0,0.0,0.0,0.0,17,0,0
random_20250607_111419_4bc7bec0,2025-06-07T11:14:19.944708,2025-06-07T11:14:25.775646,error,25,random,random,Agra vation,Democrats (Greenland),30,26,25,1,False,Navigation failed: Tool error: Error executing tool navigate: Page does not exist: Category:BL-Class Spain pages,app_navigation_error,42,"Agra vation -> Help:Taxon identifiers -> Wikipedia:Project namespace -> Wikipedia:Graphics tutorials -> Help:VisualEditor -> Help:Markup validation -> Wikipedia:IRC/Tutorial -> Help:Pictures -> Template talk:Wikipedia help pages -> Help:Template -> Case sensitivity -> Yukihiro Matsumoto -> Ruby Document format -> Rake (software) -> Library (computing) -> Syntax (programming languages) -> Natural language -> List of language regulators -> Galician Academy of the Portuguese Language -> Padrón -> As Somozas -> San Sadurniño -> Melide, Spain -> Cambre -> Template talk:Municipalities in A Coruña -> Category:Template-Class Spain pages",0,0,0,0.0,0.0,0.0,26,0,0
